rank,track,artist,billed_artist_count,is_collaboration,spotify_streams_total,daily_streams,daily_streams_rank,daily_stream_share_pct,wrapped_global_top10_rank
1,Ordinary,Alex Warren,1,False,1948570210,2333502,11,0.1198,4
2,DtMF,Bad Bunny,1,False,1912497312,3017476,3,0.1578,5
3,Golden,HUNTR/X,1,False,1759912501,2286960,14,0.1299,7
4,BAILE INoLVIDABLE,Bad Bunny,1,False,1553054400,2624716,7,0.169,
5,The Fate of Ophelia,Taylor Swift,1,False,1425834222,3046797,2,0.2137,
6,NUEVAYoL,Bad Bunny,1,False,1304961163,2331822,12,0.1787,
7,Man I Need,Olivia Dean,1,False,1163100298,3075070,1,0.2644,
8,EoO,Bad Bunny,1,False,1134697302,1852754,20,0.1633,
9,La Plena,W Sound,1,False,1122378160,1440291,31,0.1283,
10,VOY A LLeVARTE PA PR,Bad Bunny,1,False,983744897,1286871,34,0.1308,
11,Manchild,Sabrina Carpenter,1,False,981082452,1976118,19,0.2014,
12,Clean Baby Sleep White Noise (Loopable no fade),Dream Supplier,1,False,960025082,2763626,5,0.2879,
13,undressed,sombr,1,False,945060981,1355653,32,0.1434,
14,Don’t Say You Love Me,Jin,1,False,944886547,914780,58,0.0968,
15,VeLDÁ,Bad Bunny,1,False,896447955,1197282,36,0.1336,
16,like JENNIE,JENNIE,1,False,863266315,962240,52,0.1115,
17,Sports car,Tate McRae,1,False,857317165,801308,73,0.0935,
18,So Easy (To Fall In Love),Olivia Dean,1,False,847224271,2534851,9,0.2992,
19,Gabriela,KATSEYE,1,False,839510868,1450285,30,0.1728,
20,WHERE IS MY HUSBAND!,RAYE,1,False,833325921,2444119,10,0.2933,
21,DAISIES,Justin Bieber,1,False,830599247,2317392,13,0.279,
22,Abracadabra,Lady Gaga,1,False,801798555,638803,102,0.0797,
23,No Broke Boys,Disco Lines,1,False,761482483,1639517,25,0.2153,
24,Soda Pop,Saja Boys,1,False,760211482,690317,92,0.0908,
25,Opalite,Taylor Swift,1,False,755870394,1570535,27,0.2078,
26,Your Idol,Saja Boys,1,False,736752555,543611,132,0.0738,
27,TU SANCHO,Fuerza Regida,1,False,678620909,2125598,16,0.3132,
28,Marlboro Rojo,Fuerza Regida,1,False,674740134,1562264,28,0.2315,
29,12 to 12,sombr,1,False,673035539,1772502,21,0.2634,
30,Te Quería Ver,Alemán,1,False,671258573,599829,112,0.0894,
31,Just Keep Watching (From F1® The Movie),Tate McRae,1,False,662648391,1082331,39,0.1633,
32,KLOuFRENS,Bad Bunny,1,False,658567308,999823,50,0.1518,
33,Show Me Love,WizTheMc,1,False,643142920,929630,55,0.1445,
34,How It’s Done,HUNTR/X,1,False,641911586,597522,114,0.0931,
35,no tiene sentido,Beéle,1,False,634620760,885133,64,0.1395,
36,JUMP,BLACKPINK,1,False,623525520,816487,72,0.1309,
37,NOKIA,Drake,1,False,622303060,559273,130,0.0899,
38,Raindance,Dave,1,False,608011016,2762424,6,0.4543,
39,What It Sounds Like,HUNTR/X,1,False,601777378,573336,120,0.0953,
40,Morena,Neton Vega,1,False,598038433,539321,135,0.0902,
41,I Really Like You,Carly Rae Jepsen,1,False,592587611,232005,352,0.0392,
42,Bullet With Butterfly Wings,The Smashing Pumpkins,1,False,584919916,316607,261,0.0541,
43,Anxiety,Doechii,1,False,569640172,529801,140,0.093,
44,Stateside + Zara Larsson,PinkPantheress,1,False,559516865,2537274,8,0.4535,
45,WELTiTA,Bad Bunny,1,False,552943518,697791,91,0.1262,
